Sample_ID;litter;micro;root;sterile;Time;Rep;pH_litter;pct_lignin;CN_litter;TOC;pct_min;pct_agg;litter_remain;MAOM;rMAOM;DOC;SAOM;POM;mic_ge
c2oy11;c;2;o;y;1;1;6.4;15;18;0;100;0;90;0.5;0.5;2;1;96;0.35
c2oy12;c;2;o;y;1;2;6.4;14;19;0;98;2;88;2;0;3;1;94;0.36
c2oy13;c;2;o;y;1;3;6.4;15;21;0;97;3;86;1.75;0.25;3;0;95;0.28
c2oy21;c;2;o;y;2;1;6.6;13;20;0;85;15;70;31;1;3;3;62;0.41
c2oy22;c;2;o;y;2;2;6.6;14;20;0.07;82;18;70;34;1;4;5;56;0.42
c2oy23;c;2;o;y;2;3;6.6;12;21;0;82;18;70;38;2;5;9;46;0.46
c2oy31;c;2;o;y;3;1;6.7;13;21;0.12;66;34;60;49;2;4;10;35;0.51
c2oy32;c;2;o;y;3;2;6.7;13;25;0.2;60;40;57;53;2;4;12;29;0.49
c2oy33;c;2;o;y;3;3;6.7;13;25;0.19;58;42;51;59;1;5;8;27;0.55
c2oy41;c;2;o;y;4;1;6;11;25;0.23;58;41;43;58;3;5;12;22;0.52
c2oy42;c;2;o;y;4;2;6.2;12;25;0.22;55;42;36;60;4;6;10;20;0.53
c2oy43;c;2;o;y;4;3;6.3;10;23;0.12;56;39;32;60;5;7;9;19;0.51
c3oy11;c;3;o;y;1;1;6.4;15;18;0;100;0;90;0.5;0.5;2;1;96;0.35
c3oy12;c;3;o;y;1;2;6.4;14;19;0.09;98;2;88;2;0;3;1;94;0.36
c3oy13;c;3;o;y;1;3;6.4;15;21;0.1;97;3;86;1.75;0.25;3;0;95;0.28
c3oy21;c;3;o;y;2;1;6.6;13;20;0.15;85;15;70;31;1;3;3;62;0.41
c3oy22;c;3;o;y;2;2;6.6;14;20;0.19;82;18;70;34;1;4;5;56;0.42
c3oy23;c;3;o;y;2;3;6.6;12;21;0.23;82;18;70;38;2;5;9;46;0.46
c3oy31;c;3;o;y;3;1;6.7;13;21;0.43;66;34;60;49;2;4;10;35;0.51
c3oy32;c;3;o;y;3;2;6.7;13;25;0.51;60;40;57;53;2;4;12;29;0.49
c3oy33;c;3;o;y;3;3;6.7;13;25;0.61;58;42;51;59;1;5;8;27;0.55
c3oy41;c;3;o;y;4;1;6;11;25;0.7;58;42;43;58;3;5;12;22;0.52
c3oy42;c;3;o;y;4;2;6.2;12;25;0.8;55;42;36;60;4;6;10;20;0.53
c3oy43;c;3;o;y;4;3;6.3;10;23;0.9;56;44;32;60;5;7;9;19;0.51
a1ay11;a;1;a;y;1;1;5;28;37;0;100;0;100;0;0;0;0;100;0.1
a1ay12;a;1;a;y;1;2;5;29;40;0.1;100;0;98;1;0.3;1;1;96.7;0.11
a1ay13;a;1;a;y;1;3;5;27;41;0.07;99;1;99;2;0;2;0;96;0.21
a1ay21;a;1;a;y;2;1;4.5;31;38;0;87;13;89;2;0;3;0;95;0.22
a1ay22;a;1;a;y;2;2;4.5;30;34;0.04;85;15;88;1;0.3;2;1;95.7;0.24
a1ay23;a;1;a;y;2;3;4.5;28;33;0.12;76;24;86;1;0.45;4;12;82.55;0.26
a1ay31;a;1;a;y;3;1;4.8;29;38;0.14;65;35;70;3;1;5;14;77;0.33
a1ay32;a;1;a;y;3;2;4.8;29;37;0.19;62;38;70;4;1;4;21;70;0.34
a1ay33;a;1;a;y;3;3;4.8;29;37;0.26;67;33;68;5;2;4;13;76;0.35
a1ay41;a;1;a;y;4;1;4.6;30;40;0.4;55;45;67;3;2;5;29;61;0.41
a1ay42;a;1;a;y;4;2;4.6;31;41;0.5;50;50;66;6;4;5;30;55;0.55
a1ay43;a;1;a;y;4;3;4.6;29;41;0.6;45;55;64;3;1;3;46;47;0.41
b2by11;b;2;b;y;1;1;7;22;33;0;100;0;100;0;0;0;0;100;0.2
b2by12;b;2;b;y;1;2;7;23;31;0;100;0;99;0;0;0;0;100;0.24
b2by13;b;2;b;y;1;3;6.9;21;33;0.04;100;0;100;0;1;2;2;95;0.28
b2by21;b;2;b;y;2;1;6.9;20;30;0.1;97;3;90;1;2;3;3;91;0.32
b2by22;b;2;b;y;2;2;6.9;21;27;0.12;93;7;86;2;3;2;5;88;0.43
b2by23;b;2;b;y;2;3;7.1;23;34;0.14;89;11;83;2;1;2;6;89;0.44
b2by31;b;2;b;y;3;1;7.1;21;30;0.23;80;20;80;3;4;3;24;66;0.44
b2by32;b;2;b;y;3;2;7.1;23;29;0.28;75;25;82;4;4;3;29;60;0.34
b2by33;b;2;b;y;3;3;6.8;24;30;0.3;70;30;81;2;5;4;30;59;0.41
b2by41;b;2;b;y;4;1;6.8;23;25;0.34;65;35;67;5;6;4;25;60;0.51
b2by42;b;2;b;y;4;2;6.8;25;25;0.45;60;40;60;6;7;5;35;47;0.55
b2by43;b;2;b;y;4;3;6.8;25;25;0.65;56;44;66;8;8;6;32;46;0.56
c3cy11;c;3;c;y;1;1;6.4;15;18;0;100;0;100;3;0;0;0;97;0.1
c3cy12;c;3;c;y;1;2;6.4;14;19;0;99;1;99;0;0.3;0;0;99.7;0.34
c3cy13;c;3;c;y;1;3;6.4;15;21;0.1;95;5;98;0;0.1;0;0;99.9;0.23
c3cy21;c;3;c;y;2;1;6.6;13;20;0.23;82;18;80;6;2;2;0;90;0.44
c3cy22;c;3;c;y;2;2;6.6;14;20;0.24;80;20;75;8;1;3;2;86;0.45
c3cy23;c;3;c;y;2;3;6.6;12;21;0.43;75;25;72;9;0;3;3;85;0.46
c3cy31;c;3;c;y;3;1;6.7;13;21;0.51;66;34;56;23;3;4;3;67;0.51
c3cy32;c;3;c;y;3;2;6.7;13;25;0.76;62;38;50;12;4;5;4;75;0.52
c3cy33;c;3;c;y;3;3;6.7;13;25;0.67;59;41;43;24;5;5;8;58;0.48
c3cy41;c;3;c;y;4;1;6;11;25;0.8;43;5;32;34;6;6;10;44;0.6
c3cy42;c;3;c;y;4;2;6.2;12;25;0.9;40;60;35;30;9;7;21;33;0.56
c3cy43;c;3;c;y;4;3;6.3;10;23;1;33;67;31;46;12;5;28;9;0.58
